,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
128,@BBCNews,Fri Sep 21 06:41:53 +0000 2018,NatWest hit by online banking problems https://t.co/vcIVXQs00f,129,-0.4019,0.69,0.31,0.0
129,@BBCNews,Fri Sep 21 06:23:53 +0000 2018,RT @BBCMaryam: Italy's competition watchdog has opened a inquiry into Ryanair's decision to charge people to take certain heavier hand lugg…,130,0.6486,0.773,0.0,0.227
130,@BBCNews,Fri Sep 21 05:25:47 +0000 2018,"News Daily: EU 'must compromise' on Brext, and police 'aware' of spy's affair https://t.co/D3peS9oe8x",131,0.0,1.0,0.0,0.0
131,@BBCNews,Fri Sep 21 04:06:27 +0000 2018,Hayabusa-2: Japan's rovers ready for touchdown on asteroid https://t.co/lJtbbGxaib,132,0.3612,0.762,0.0,0.238
132,@BBCNews,Fri Sep 21 04:03:34 +0000 2018,Police 'aware' undercover officer was in relationship https://t.co/c1p4pw2Ph8,133,0.0,1.0,0.0,0.0
133,@BBCNews,Fri Sep 21 03:41:31 +0000 2018,Syracuse New York shooting 'leaves seven injured' https://t.co/zDrDkUubdP,134,-0.4019,0.722,0.278,0.0
134,@BBCNews,Fri Sep 21 03:24:28 +0000 2018,Italy opens probe into Ryanair hand luggage charges https://t.co/elvPNwmt7t,135,0.2732,0.569,0.171,0.26
135,@BBCNews,Fri Sep 21 02:35:17 +0000 2018,"UKIP bids to be 'radical, populist' party https://t.co/1eidF67PqU",136,0.4019,0.722,0.0,0.278
136,@BBCNews,Fri Sep 21 02:06:56 +0000 2018,"Cat killer mystery solved, but how do we keep our pets safe? https://t.co/G1zE7qYYRz",137,0.4118,0.554,0.147,0.299
137,@BBCNews,Fri Sep 21 01:58:29 +0000 2018,US imposes sanctions on China for buying Russian weapons https://t.co/uELmSnCANn,138,-0.5106,0.65,0.35,0.0
138,@BBCNews,Fri Sep 21 01:55:29 +0000 2018,"Brexit: 'No deal' without EU compromise, says Grayling https://t.co/1Asv7uCLbE",139,-0.296,0.784,0.216,0.0
139,@BBCNews,Fri Sep 21 01:09:27 +0000 2018,Knife crime: Can Chicago's model cure London's violence? https://t.co/JN2yup7hu6,140,-0.8225,0.479,0.521,0.0
